,portfolio
2018-01-03,0.01828990180330093
2018-01-04,0.003154274902811848
2018-01-05,0.010772143665717951
2018-01-08,0.014744075256410137
2018-01-09,-0.0010118056431471954
2018-01-10,0.0008913294109814691
2018-01-11,0.005163825526010119
2018-01-12,0.0026568695829948803
2018-01-16,-0.005028149540122056
2018-01-17,0.012110694827052685
2018-01-18,-0.0003579625409541791
2018-01-19,0.007603708583444132
2018-01-22,0.012340420101839297
2018-01-23,0.011599164427761556
2018-01-24,-0.00966447904333338
2018-01-25,-0.0006578952399180257
2018-01-26,0.015126933383943638
2018-01-29,-0.0001947781926368618
2018-01-30,-0.006787624173146332
2018-01-31,0.010543177347810845
2018-02-01,-0.008145331373208978
2018-02-02,-0.023568157927642736
2018-02-05,-0.045685018775874074
2018-02-06,0.03308162897427537
2018-02-07,-0.007978424984115008
2018-02-08,-0.04745061078323927
2018-02-09,0.02609190674515476
2018-02-12,0.011676531611152702
2018-02-13,0.009747873601019296
2018-02-14,0.021291723643327144
2018-02-15,0.019935359892748743
2018-02-16,-0.005257620689942566
2018-02-20,0.005746362549651415
2018-02-21,-0.006775177326001176
2018-02-22,0.006709184162491548
2018-02-23,0.01785561065202281
2018-02-26,0.011915710274981594
2018-02-27,-0.010470664410136561
2018-02-28,-0.009958506387770665
2018-03-01,-0.022342087178613846
2018-03-02,0.008756395795567347
2018-03-05,0.0057228500822539136
2018-03-06,0.004750700602344524
2018-03-07,0.004438652503865676
2018-03-08,0.002545684346667043
2018-03-09,0.01621760345930221
2018-03-12,0.012656422521757266
2018-03-13,-0.012866094211088197
2018-03-14,-0.003632953990781613
2018-03-15,0.00021526162393058196
2018-03-16,-0.0017678747759719772
2018-03-19,-0.027876612693344273
2018-03-20,0.006347597178013635
2018-03-21,-0.0032615209677018895
2018-03-22,-0.02474700242798194
2018-03-23,-0.028550387382560095
2018-03-26,0.03877448897029145
2018-03-27,-0.04922802145758064
2018-03-28,-0.01762138638150892
2018-03-29,0.02681220630295463
2018-04-02,-0.03196253559702486
2018-04-03,0.016753855983555
2018-04-04,0.018027186875691
2018-04-05,0.009723981472623513
2018-04-06,-0.024260247201651024
2018-04-09,0.0022663205648428197
2018-04-10,0.0327826325887912
2018-04-11,-0.006382137621405261
2018-04-12,0.011250728514515421
2018-04-13,-0.0020094504784995354
2018-04-16,0.0021981540179823876
2018-04-17,0.020171574578322568
2018-04-18,0.0010268028999824716
2018-04-19,-0.005132231136492856
2018-04-20,-0.01657417950295323
2018-04-23,-0.007771714506313291
2018-04-24,-0.02163804210818337
2018-04-25,-0.0056679757403904135
2018-04-26,0.029584690327842486
2018-04-27,0.007101680659190799
2018-04-30,-0.005346890231311316
2018-05-01,0.01454724675550442
2018-05-02,0.002481830701121205
2018-05-03,0.000516768034162809
2018-05-04,0.021928666367193973
2018-05-07,0.016931135116656428
2018-05-08,0.001119061638576799
2018-05-09,0.015367632837117298
2018-05-10,0.01054657776320646
2018-05-11,-0.006107030967696158
2018-05-14,-0.002221750657744131
2018-05-15,-0.018491338504656722
2018-05-16,0.0033231379774595767
2018-05-17,-0.0023032155793187865
2018-05-18,-0.006644550069093308
2018-05-21,0.007974548601996511
2018-05-22,-0.00676429527643985
2018-05-23,0.012844137577344341
2018-05-24,-0.0014577154451609314
2018-05-25,0.0018706181990793067
2018-05-29,-0.001001467479150156
2018-05-30,0.01087682803871706
2018-05-31,0.0005141836773597971
2018-06-01,0.01838259370779212
2018-06-04,0.01289512687691525
2018-06-05,0.001891510605827835
2018-06-06,0.009978001459331469
2018-06-07,-0.008702714740075487
2018-06-08,-0.0001111365168109539
2018-06-11,0.0044846461071277035
2018-06-12,0.007811967416078292
2018-06-13,-0.001615605371555514
2018-06-14,0.013501716504809457
2018-06-15,-0.005727398099763882
2018-06-18,0.008090960115041543
2018-06-19,-0.011414781394254437
2018-06-20,0.01028953303453129
2018-06-21,-0.013023986335197947
